answer,content,id,title,view,vote
1,"This is the common example for string immutability>>> s1='Robert'...            >>> id(s1)...            2039784292400>>> s1.replace('R','B')...            'Bobert'&...",73468201,How to find id of python replace object,15,
0,"I am trying to implement Find S algrithm but my code is giving me the following error:""local variable 'specific_h' referenced before assignment""import pandas as pdimport numpy as npdata =...",73468194,local variable 'specific_h' referenced before assignment in Find S Algorithm,11,
0,"After destroying a Tkinter window I put a time.sleep, however it first waits, then destroys the window, instead of first destroying then waitingroot.destroy()time.sleep(5)",73468169,Tkinter root.destroy delayed after time.sleep,4,
0,"I have this JavaScript project that uses socket io and console the data.const   = generateMockData(deviceId);        console.log(payload)        io.of(""/"").emit(""data"", JSON....",73468162,Is it possible to get the payload data of a JavaScript socket io and print it using Django?,7,
0,Given a dataset with 100 observations and 3 features plus one label(regression). we train the model with 100 * 4(3 features + 1 label) data. Now can we predict the features when the label is given as ...,73468144,Can we predict features from labels in machine learning,7,
1,"I have a requirement to update the existing mean when new set of data is coming.For example,Say I have already calculated mean of a list of numbers and kept.from statistics import meanl1=[1,0,1,0,...",73468126,calculate mean of new list of number with old mean,14,
0,enter image description hereThe code I wrote above works fine except I want the numerical day (%d) of the month to stay unchanged (30th) for all the months bar February (28th). The fact that the day ...,73468125,How do I go about incrementing a datetime value by one month using 'relativedelta(months=1)' without affecting the numerical day value?,10,
0,"The minor axis is the (x,y) endpoints of thelongest line that can be drawn through theobject whilst remaining perpendicular with themajor-axis.– The minor axis endpoints (x1,y1) and (x2,y2) are...",73468111,Minor axis measurement in irregular shape object,7,
0,I am trying to create a jira taskBot using telegram/AWS lambda/Python.I am new to python!Basically a user can message the telegram bot and assign a Jira task to another user by typing:/assigntask &...,73468109,Search python by userinput & return corresponding values,8,
0,"I'm doing an IoT project with Python. In the project, I am having a problem while communicating with an internal network and a public network. Endpoint establishes a continuous connection with the ...",73468098,How to use reverse proxy over websocket communication in Python?,8,
0,"user_idpartner_nameorder_sequence2Star Bucks12KFC22MCD36Coffee Store16MCD29KFC1I am trying to figure out what two restaurant combinations occur the most often. For instance,...",73468079,How can I make pairs of the partner_name values in the given dataset?,8,
0,I'm having the local variable referenced before the assignment error and I have tried a lot of ways that I can use to fix this. Any help would be greatly appreciated.error;Traceback (most recent ...,73468030,local variable 'orgHigh' referenced before assignment in google colab ( python 3.7 ),13,
3,"For example, if house column is ""Own"" (it is string), than I want to put 1 to tax_home.How can I make code for it?I tried this code but it doesn't work.Help medef none(x):    if df1['...",73468031,How to put 1 or 2 in A column according to the value of column B?,25,
0,"I was trying to run the code from this repo: https://github.com/alexfrom0815/Online-3D-BPP-PCTand I ran into these errors:Traceback (most recent call last):  File ""C:\Users\thien\Desktop\test\...",73468019,Can't import .py files,18,
0,"I am trying to get data from database using python.but i am getting a error.and value is already exist in my databasecur.execute(""SELECT * from home_curd WHERE consumer_type= domestic"")...",73468001,How to run where Query in postgres using python,18,
0,could anyone please guide me on how to use PyMedTermino with MongoDB?My aim is to map the diseases with it's synonyms (synonyms in an array) using the UMLS data and store the database in MongoDB.The ...,73467992,How to use PyMedTermino with MongoDB to map synonyms?,8,
0,"I am launching a program remotely over ssh from a Makefile if that matters, that requires a special command line environment and parameter, that eventually runs python code via libpython.so. I am ...",73467991,Debug python code loaded from program launched from terminal,11,
1,"Suppose I have two 2D matricies: [[1,2],[0,0]] and [[4,8],[0,0],[5,6]] and I want to sum them up and get the matrix [[5,10],[0,0],[5,6]]. How can I do it in the most easiest way without writing my own ...",73467983,Python how to add two maticies with different number of rows and columns?,20,
0,"Market InsightsThe global Military Gas Mask market was valued at US$ 5.51 Billion in 2021, and it is expected to reach a value of US$ 14.93 Billion by 2028, at a CAGR of 11.7% over the forecast ...",73467970,i Want to Extract the Paragraph Below a specific word.docx and store it to a variable,14,
2,I was practicing with this tiny program with the hopes to capitalize the first letter of each word in: john Smith.I wanted to capitalize the j in john so I would have an end result of John Smith and ...,73467963,New to Python: How to keep the first letter of each word capitalized?,29,
0,"I'm trying to make it possible for several users to use the bot's capabilities independently of each other's incoming data, but when 2> users try to use their data from the database, they can edit ...",73467940,How can I implement multiple user accounts at the same time in discord.py,10,
4,"I have a string like ""2015-Q1"". What is the best way to return the start date and end date of the given quarter?Input:2015-Q1Expected Output:(2015-01-01,2015-03-31)",73467915,Given the quarter name return the start and end dates,18,
1,"class Base(object):    def __init__(self):        print(""Base created"")        a = ""baseclass""class ChildA(Base):    def __init__(self):        Base.__init__(self)        b ...",73467902,Share attributes/ variables between classes python,24,
0,"In Python, I have a dataframe that has json variablesFor example,If keys and values of a column are like{'a': 3, 'b': 2, 'c': 1}{'d': 287, 'e': 56, 'f': 17, 'g': 9}{'h': 22, 'i': 15, 'a': 7}{'g':...",73467894,"In Python, how can I append each key and value of dictionary to columns?",18,
