id,title,content,vote,answer,view
73481104,how to correct this code to verify for all the a's in the code to check for the sample code? [closed],"The following program calculates the number of input strings with letter ‘a’, and end the program when the input string is “####”. Here is an expected sample run:enter a string (enter #### to stop): ...",-1,1,25
73481094,How do I create a new module in django and register the classes in that module,"I want to create a new module and set of middleware classes in my app.  I created a subfolder ""middleware"" and put my python classes there in separate files.  But when I try to access them ...",0,1,18
73481092,How to pull values from JSON into pandas dataframe using a string as the index value,"I am looking to build a dataframe utilizing certain data from a JSON with multiple nested dictionaries.An example of the format of the JSON is as follows:""leagueYear"": ""2021"",   ...",0,1,15
73481090,Drag and drop from QListWidget to QGraphicsItem,"I'm looking for how i can do the same thing like this : https://www.walletfox.com/course/dragdroplistscene.php with Python with PyQt5 library, but i don't know how i can do it.How i can do a subclass ...",0,0,9
73481089,Fast API request hangs when passing parameters to another endpoint,"When I reference another endpoint inside an async function in my Fast API script, that endpoint will hang and fail to load. Despite http://127.0.0.1:8000/data?nums=1&nums=2&nums=3 returning ...",0,0,13
73481059,Memory leak in AWS Lambda when calling local folder,I have a python script that I'm currently using just to figure out how to use a docker container image and deploy it to lambda using a few libraries. The code is as follows:from transformers import ...,0,0,11
73481035,Can't not use kwargs in tk.CheckButton [duplicate],"This is an qusition on tk.Checkbutton, i code a function to setting checkbuttonfrom tkinter import Checkbutton, PhotoImage, Tk, BooleanVardef setCheckButton(root):    on_image = PhotoImage(width=...",0,0,10
73481033,How to make post request to list of webhooks at the same time python,i'm trying to make something that will take a url of a discord webhook and make a post request to it while also continuing in the loopfor example:    await kdot.create_webhook(name='K.Dot#0001')    ...,-1,0,13
73481028,error with aiter in telethon bot in python,"i'm trying to loop inside my async function for my bot, and for the autodestruction function i have to iterate all the users and check if the user is an admin, done with this code:all_participants = ...",0,0,8
73481011,I want to upload my logs from ec2 to s3 through boto3 [closed],"My log name contains the date, and I want to collect and upload log data with those dates.But I dont know about python its my first time in my life help meand Thank you for your advise",-3,0,18
73480989,Remove columns which match some pattern in python,"I have a large csv files which have several columns as follows:M_15_19_yr_M_19_25_yr_M_25_35_yr_203412092119I want to remove such columns which start from M_{age1}_{age2}_yr. I tried ...",2,2,24
73480966,"how can i import a function from another python file when the function is assigned to a variable name (ie from XYZ import f""{funcname}"" [duplicate]","So, i have some code that randomizes function names in another python file, it can find the function name just fine but how would i go about importing the function, ill better lay-out the question ...",0,0,9
73480938,"Calculate sum of multiples rows with a value in another column, and store the new value in a new column",I have a time series data where I would like to calculate sum of 4 quarters and divide the result with a value in another column. Here is my data example. In reality I will have 10K+ rows.df = pd....,1,1,16
73480911,AtributeError: __enter__ in python,"Performing a CRUD in python, I created the connection class where is two class methods: getConnection and getCursor, when I created the PersonDAO class and its class method called seleccionar and ...",-2,0,40
73480900,Organizing a list of dictionaries in Python,"I have a huge list of dictionaries with data labeled as follows{'id': 2, 'text': '""The hotel has many restaurants to enjoy a meal. My husband and I went to the Japanese restaurant and we only ...",0,2,39
73480884,"Need a solution so when I press Enter, turtle draws a different shape","The code I am trying to write needs to make 5 different shapes, which only one is included.   I am not worried about coding the other 4.What I need to know is how do I set it up so every time I press ...",0,1,26
73480869,ValueError: time data does not match format '%Y-%m-%d %H:%M:%S',I use twint for scraping data from twitter. Code as followsimport twintimport nest_asyncionest_asyncio.apply()# Configurec = twint.Config()c.Limit = 500c.Since = '2022-01-01'c.Until = '2022–...,0,0,17
73480849,Best practices for scheduling multiple jobs at different frequencies in a Python project?,"I have started scheduling a couple scripts in Python using launchd. All my imports are from the root directory, though, so unless I want to mess with sys.path (which feels like poor practice) I need ...",0,0,22
73480847,Datetime.strptime format for 2022-08-24T04:57:17.065000+00:00,"We have the following string in a variable:date_variable = ""2022-08-24T04:57:17.065000+00:00""We would like to convert this to datetime.The following does not work:timestamp_formatted = ...",1,1,19
73480835,Sum percentages by condition,everyone.I don't know how to solve this.I would like to sum the percentages according to the result.Let me explain; all the % values for example with result i -1 should be summed (leaving the sign ...,0,1,39
73480827,Difference in Methods for Merging Transformed PDF Pages in PyPDF2,"I'm attempting to create a function to add a bottom ""margin"" to pages in existing PDFs.  Those bottom margins then need to be populated with specific text determined by the file and page.  I ...",0,0,4
73480826,Generating a list of sequences without repeating rows from a panda dataframe using Python,I am trying to create a a list of sequences based on the following three columns panda table.The data table would look like:|FROM|OPERATION|TO||   2|       10| 1||   2|       11| 4||   1|       ...,-1,0,37
73480774,Can I create a Middleware class in one app that handles requests in other apps on the site,"In reading the,Middlware DocumentationI can see I can write a middleware class that will see and has access to every request in my app, which is good.What if I want my Middleware to see and handle ...",0,0,27
73480771,Tox installs the wrong dependencies,"py310-django32-oauthlib1 create: /mydirectory py310-django32-oauthlib1 create: /mydirectory/.tox/py310-django32-oauthlib1py310-django32-oauthlib1 installdeps: oauthlib==1.1.2, django~=3.2.10, ....etc ...",0,0,12
